#{"t_start": 1626984388.574869, "env_id": null}
r,l,t
-41.14723,99,0.963188
-39.73835,99,1.287272
-37.08762,99,1.604368
-38.201027,99,1.92303
-40.751064,99,2.337492
-23.370895,94,2.678108
-24.604332,99,3.012259
-24.556747,99,3.349766
-24.61423,99,3.686279
-24.604332,99,4.02228
-42.69635,99,4.437446
-40.097183,99,4.781449
-38.926678,99,5.136449
-34.19126,99,5.54236
-40.4795,99,5.860147
-23.370895,94,6.212337
-24.60928,99,6.555921
-24.609282,99,6.894406
-24.604332,99,7.229888
-24.588284,99,7.567271
-41.163895,99,7.91007
-38.62605,99,8.235357
-39.001926,99,8.58608
-42.367836,99,8.908918
-36.04129,99,9.227048
-23.34495,94,9.572918
-24.590546,99,9.905176
-24.599384,99,10.241142
-24.607647,99,10.573011
-24.599382,99,10.909385
-33.770397,99,11.365306
-36.843014,99,11.867618
-38.47701,99,12.194474
-37.89415,99,12.513286
-37.907642,99,12.833863
-23.308464,94,13.218605
-24.583334,99,13.556087
-24.605898,99,13.897954
-24.578384,99,14.252172
-24.561695,99,14.616132
-39.898895,99,15.05492
-38.13624,99,15.371445
-36.061905,99,15.713346
-40.710037,99,16.035712
-37.437126,99,16.444357
-23.363667,94,16.890575
-24.61423,99,17.303574
-24.588284,99,17.731376
-24.600443,99,18.161472
-24.61423,99,18.582902
-40.419186,99,19.022271
-36.662094,99,19.421033
-40.969425,99,19.760006
-40.539345,99,20.148912
-38.222836,99,20.481897
-23.364313,94,20.815189
-24.60928,99,21.174075
-24.61423,99,21.518079
-24.609282,99,21.851854
-24.600443,99,22.189516
-34.806908,99,22.552751
-39.347046,99,22.868039
-42.462757,99,23.303612
-37.046577,99,23.704334
-36.973366,99,24.106063
-23.359365,94,24.515062
-24.605434,99,24.986888
-24.61423,99,25.497889
-24.583334,99,25.95889
-24.600948,99,26.395888
-42.1847,99,26.869051
-40.29348,99,27.219542
-45.05374,99,27.555544
-36.43258,99,27.909535
-41.027664,99,28.251533
-23.370895,94,28.719784
-24.600443,99,29.057905
-24.588284,99,29.396165
-24.561695,99,29.748436
-24.607647,99,30.171681
-40.24625,99,30.597213
-42.940575,99,31.003698
-36.471336,99,31.413156
-35.346268,99,31.820419
-33.21537,99,32.259356
-23.370895,94,32.687032
-24.589417,99,33.114461
-24.61423,99,33.456352
-24.61423,99,33.826392
-24.61423,99,34.185352
-42.217987,99,34.636682
-35.383892,99,34.971682
-41.943134,99,35.311682
-37.54496,99,35.764723
-35.38844,99,36.168679
-23.370895,94,36.602775
-24.604332,99,37.057775
-24.596312,99,37.50286
-24.594366,99,37.946858
-24.561695,99,38.381897
-39.201008,99,38.931733
-43.05917,99,39.341887
-40.36463,99,39.866702
-36.01294,99,40.271977
-38.978226,99,40.674107
-23.370895,94,41.078829
-24.61423,99,41.410214
-24.61423,99,41.753095
-24.605434,99,42.092593
-24.605434,99,42.440555
-37.020397,99,42.88701
-38.487415,99,43.225964
-35.724762,99,43.61114
-42.690666,99,44.009937
-36.979366,99,44.407787
-23.360468,94,45.010523
-24.58669,99,45.431676
-24.583334,99,45.854258
-24.595493,99,46.285303
-24.578384,99,46.703557
-39.736168,99,47.231819
-34.842796,99,47.634927
-41.636032,99,48.046888
-37.069897,99,48.447717
-43.31105,99,48.941837
-23.343357,94,49.357838
-24.578384,99,49.785561
-24.609282,99,50.330422
-24.61423,99,50.785155
-24.600443,99,51.270152
-39.20088,99,51.790153
-43.289997,99,52.291152
-37.54474,99,52.849151
-42.338116,99,53.399153
-35.4251,99,53.852151
-23.365948,94,54.331152
-24.61423,99,54.809165
-24.561695,99,55.257151
-24.556747,99,55.711152
-24.605434,99,56.167151
-37.36903,99,56.753587
-44.864765,99,57.185587
-37.981094,99,57.720378
-42.87932,99,58.146376
-36.49522,99,58.579376
-23.370895,94,59.032378
-24.604332,99,59.493376
-24.592802,99,59.951379
-24.560575,99,60.417377
-24.595495,99,60.869375
-41.94995,99,61.341376
-38.441517,99,61.835376
-40.904552,99,62.266377
-40.069546,99,62.705376
-39.345535,99,63.133378
-23.352203,94,63.740608
-24.610846,99,64.190607
-24.61423,99,64.628605
-24.61423,99,65.080612
-24.61423,99,65.526608
-42.29109,99,66.085162
-40.027466,99,66.514163
-39.770752,99,66.950165
-37.12638,99,67.374161
-44.075237,99,67.814162
-23.370895,94,68.259162
-24.600443,99,68.708162
-24.601261,99,69.153162
-24.60928,99,69.595161
-24.600443,99,70.030164
-44.114563,99,70.514162
-45.161575,99,70.941163
-38.8164,99,71.363162
-39.040905,99,71.850161
-39.485046,99,72.276162
-23.370895,94,72.722162
-24.595493,99,73.164162
-24.61423,99,73.607161
-24.604332,99,74.054168
-24.61423,99,74.497162
-36.966652,99,75.054753
-33.74293,99,75.481748
-37.64951,99,75.99994
-40.049664,99,76.422941
-37.979446,99,76.86094
-23.359365,94,77.310941
-24.61423,99,77.761943
-24.600948,99,78.21594
-24.61423,99,78.66894
-24.61423,99,79.169944
-38.22772,99,79.735941
-38.65733,99,80.19794
-34.51235,99,80.63194
-42.815044,99,81.056942
-35.37179,99,81.48994
-23.352978,94,82.08292
-24.604332,99,82.57895
-24.610384,99,82.992606
-24.583334,99,83.48456
-24.61423,99,83.927562
-41.23165,99,84.37456
-40.826553,99,84.803561
-36.65367,99,85.233561
-36.4169,99,85.659563
-39.66975,99,86.216757
-23.313412,94,86.663753
-24.609282,99,87.113754
-24.59164,99,87.555753
-24.61423,99,88.000752
-24.561695,99,88.439757
-43.75215,99,89.014731
-37.462326,99,89.430732
-39.255985,99,89.859734
-39.654327,99,90.422518
-43.499207,99,90.854517
-23.36705,94,91.343519
-24.590544,99,91.7611
-24.61423,99,92.191738
-24.609282,99,92.607956
-24.590546,99,93.030154
-34.709538,99,93.563168
-44.417377,99,93.96898
-36.94957,99,94.510262
-33.532963,99,94.905922
-36.274105,99,95.303922
-23.36705,94,95.717142
-24.61423,99,96.142246
-24.61423,99,96.561913
-24.588284,99,97.011731
